ID,Published_Grey,if_grey_Published,Author,YearPublication,Language,Title,Journal_Unpub,Volume_Pages,GoogleScholar,CAPES,Extra,is_seabird,MicroPlastic,YearSampleStart,YearSampleEnd,MonthsSampled,Lat,Long,BrazilianRegion1,BrazilianRegion2,BrazilianState1,BrazilianState2,BrazilianState3,MainSampledEnvironment,BrazilianBiome,MainBirdGroup,StudyAim,BirdCondition,SampleSize,NumOrders,NumFamilies,NumSpecies,Interaction,IngestionTechnique,CategorizationDebris,DataAnalysis,Model,O,FO,N,FN,M,S,V,Col,Pol,Men,Obs
40,published,NA,Petersen et al.,2016,en,"Incidence of plastic debris on Sooty Tern nests: a preliminary study on Trindade Island, a remote area of Brazil",Marine Pollution Bulletin,105:373-376,1,NA,NA,yes,0,2014,NA,3,-20.5,-29.32,southeast,NA,ES,NA,NA,sea,coastalMarine,oceanic,plasticInteraction,alive,1800,1,1,1,nest,NA,0,FO_N_M_V_Col,0,0,1,1,0,1,0,1,1,0,0,SampleSize = number of nests searched for plastic occurrence.
41,published,NA,Tavares et al.,2016,en,Nests of the Brown Booby (Sula leucogaster) as a potential indicator of tropical ocean pollution by marine debris,Ecological Indicators,70:10-14,1,NA,NA,yes,0,2016,NA,2,-22.85,-41.98,southeast,NA,RJ,NA,NA,sea,coastalMarine,coastal,plasticInteraction,alive,203,1,1,1,nest,NA,1,Model_FN_Col,1,0,0,0,1,0,0,0,1,0,0,
42,published,NA,Dias et al.,2017,en,"Plastic debris as the probable cause of death of a first-year Atlantic Yellow-nosed Albatross Thalassarche chlororhynchos stranded on the coast of Sergipe, northeast Brazil",Atualidades Ornitologicas,197:18-19,1,NA,NA,yes,0,2016,NA,NA,-10.79,-36.9,northeast,NA,SE,NA,NA,sea,coastalMarine,oceanic,plasticInteraction,dead,1,1,1,1,ingestion,stomachContent,1,N_M,0,0,0,1,0,1,0,0,0,0,0,
43,published,NA,Di Beneditto & Siciliano,2017,en,Marine debris boost in juvenile Magellanic Penguins stranded in south-eastern Brazil in less than a decade: insights into feeding habits and habitat use,Marine Pollution Bulletin,125:330-333,1,NA,NA,yes,0,2000,2008,3,-22.85,-41.98,southeast,NA,RJ,NA,NA,sea,coastalMarine,coastal,plasticInteraction,dead,86,1,1,1,ingestion,stomachContent,1,FO,0,0,1,0,0,0,0,0,0,0,0,
44,published,NA,Leal et al. ,2017,en,Feeding and foraging ecology of Trindade Petrels Pterodroma arminjoniana during the breeding period in the South Atlantic Ocean,Marine Biology,164:211,1,NA,NA,yes,0,2006,2015,6,-20.5,-29.32,southeast,NA,ES,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,alive,26,1,1,1,ingestion,pellet_stomachContent,1,FO_N,0,0,1,1,0,0,0,0,0,0,0,
45,published,NA,Petry & Benemann,2017,en,Ingestion of marine debris by the White-chinned Petrel (Procellaria aequinoctialis): is it increasing over time off south Brazil,Marine Pollution Bulletin,117:131-135,1,NA,NA,yes,0,1990,2014,106,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,114,1,1,1,ingestion,stomachContent,1,Model_FO,1,0,1,0,0,0,0,0,0,0,0,"MonthsSampled = number of beach surveys reported, assuming 1 per month."
46,published,NA,Tavares et al.,2017,en,Incidence of marine debris in seabirds feeding at different water depths,Marine Pollution Bulletin,119:68-73,1,NA,NA,yes,1,2010,2013,36,-20.71,-40.55,southeast,NA,RJ,ES,NA,sea,coastalMarine,coastal_oceanic,stomachContent_diet,dead,623,4,7,22,ingestion,stomachContent,1,Model_FO,1,0,1,0,0,0,0,0,0,0,0,"Latitude and longitude placed on Guarapari municipality, as a mid-point in the study area."
47,published,NA,Marques et al.,2018,en,Trophic ecology of Magellanic Penguins (Spheniscus magellanicus) during the non-breeding period,"Estuarine, Coastal and Shelf Science",210:109-122,1,NA,NA,yes,0,2013,2015,12,-32.13,-52.08,south,NA,RS,NA,NA,sea,coastalMarine,coastal,stomachContent_diet,dead,41,1,1,1,ingestion,stomachContent,1,O_FO_N,0,1,1,1,0,0,0,0,0,0,0,"MonthsSampled = 12, counted as 3 months per season. SampleSize = number of non-empty stomachs as reported by the authors."
48,published,NA,Mariani et al.,2019,en,Causes of mortality of seabirds stranded at the northeastern coast of Brazil,Pesquisa Veterinaria Brasileira,39:523-529,1,NA,NA,yes,0,2012,2014,29,-10.98,-37.05,northeast,NA,BA,SE,AL,sea,coastalMarine,coastal_oceanic,occasionalReport,dead,163,NA,NA,NA,ingestion_entanglement,stomachContent,0,FO,0,0,1,0,0,0,0,0,0,0,0,"Latitude and Longitude placed on Aracaju municipality. SampleSize = number of necropsied birds. DataAnalysis = FO based on all records, not per species. NA applied to taxonomy because the authors did not mention the species necropsied. This article is based on D.B. Mariani (2019) Msc. Dissertation’."
49,published,NA,Perez et al.,2019,en,Diet of the Atlantic Petrel Pterodroma incerta during the non-breeding season,Marine Ornithology,47:43-47,1,NA,NA,yes,0,2004,2014,6,-29.97,-50.11,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,61,1,1,1,ingestion,stomachContent,0,FO,0,0,1,0,0,0,0,0,0,0,0,"Latitude and Longitude placed on Imbe municipality. MonthsSampled = 6, counted as each month described, as the records were punctual. This article is part of  M.S. Perez (2016) MSc. Dissertation."
